Year,Week,Mortality,Influenza,Temperature deficit ,Influenza_lag1,Temp_lag1,Influenza_lag2,Temp_lag2
1995,1,1940,0,1.3,0,0,0,0
1995,2,1898,0,0,0,1.3,0,0
1995,3,1812,0,0,0,0,0,1.3
1995,4,1869,6,1.4,0,0,0,0
1995,5,1857,2,0,6,1.4,0,0
1995,6,1802,4,0,2,0,6,1.4
1995,7,1816,3,0,4,0,2,0
1995,8,1834,6,0,3,0,4,0
1995,9,1794,2,0,6,0,3,0
1995,10,1833,2,0,2,0,6,0
1995,11,1891,6,0,2,0,2,0
1995,12,1766,5,0,6,0,2,0
1995,13,1837,12,0,5,0,6,0
1995,14,1895,13,0,12,0,5,0
1995,15,1909,18,0,13,0,12,0
1995,16,1894,29,0,18,0,13,0
1995,17,1882,15,0,29,0,18,0
1995,18,1755,10,0,15,0,29,0
1995,19,1774,8,0,10,0,15,0
1995,20,1768,4,0,8,0,10,0
1995,21,1734,3,0,4,0,8,0
1995,22,1741,0,0,3,0,4,0
1995,23,1710,0,0,0,0,3,0
1995,24,1569,0,0,0,0,0,0
1995,25,1708,0,0,0,0,0,0
1995,26,1749,0,0,0,0,0,0
1995,27,1785,0,0,0,0,0,0
1995,28,1682,0,0,0,0,0,0
1995,29,1659,0,0,0,0,0,0
1995,30,1563,0,0,0,0,0,0
1995,31,1700,0,0,0,0,0,0
1995,32,1583,0,0,0,0,0,0
1995,33,1635,0,0,0,0,0,0
1995,34,1605,0,0,0,0,0,0
1995,35,1674,0,0,0,0,0,0
1995,36,1638,0,0,0,0,0,0
1995,37,1680,0,0,0,0,0,0
1995,38,1762,0,0,0,0,0,0
1995,39,1716,0,0,0,0,0,0
1995,40,1735,0,0,0,0,0,0
1995,41,1719,0,0,0,0,0,0
1995,42,1665,0,0,0,0,0,0
1995,43,1649,0,0,0,0,0,0
1995,44,1670,1,0,0,0,0,0
1995,45,1829,2,0,1,0,0,0
1995,46,1771,6,0,2,0,1,0
1995,47,1843,4,0,6,0,2,0
1995,48,1784,12,0,4,0,6,0
1995,49,1854,33,0,12,0,4,0
1995,50,1849,78,0,33,0,12,0
1995,51,2120,117,5.5,78,0,33,0
1995,52,2530,90,8,117,5.5,78,0
1996,1,2597,60,5.3,90,8,117,5.5
1996,2,2505,36,0,60,5.3,90,8
1996,3,2150,20,0,36,0,60,5.3
1996,4,1997,26,2.8,20,0,36,0
1996,5,2016,11,2,26,2.8,20,0
1996,6,1956,10,7.6,11,2,26,2.8
1996,7,1924,11,3.5,10,7.6,11,2
1996,8,1976,7,4.7,11,3.5,10,7.6
1996,9,1944,6,0,7,4.7,11,3.5
1996,10,1811,3,0.1,6,0,7,4.7
1996,11,1840,0,0.1,3,0.1,6,0
1996,12,1767,0,0.1,0,0.1,3,0.1
1996,13,1738,0,0,0,0.1,0,0.1
1996,14,1742,0,0,0,0,0,0.1
1996,15,1783,0,0,0,0,0,0
1996,16,1715,0,0,0,0,0,0
1996,17,1739,0,0,0,0,0,0
1996,18,1685,0,0,0,0,0,0
1996,19,1692,0,0,0,0,0,0
1996,20,1671,0,0,0,0,0,0
1996,21,1693,0,0,0,0,0,0
1996,22,1670,0,0,0,0,0,0
1996,23,1690,0,0,0,0,0,0
1996,24,1624,0,0,0,0,0,0
1996,25,1653,0,0,0,0,0,0
1996,26,1680,0,0,0,0,0,0
1996,27,1626,0,0,0,0,0,0
1996,28,1661,0,0,0,0,0,0
1996,29,1609,0,0,0,0,0,0
1996,30,1643,0,0,0,0,0,0
1996,31,1671,0,0,0,0,0,0
1996,32,1639,0,0,0,0,0,0
1996,33,1534,0,0,0,0,0,0
1996,34,1656,0,0,0,0,0,0
1996,35,1549,0,0,0,0,0,0
1996,36,1535,0,0,0,0,0,0
1996,37,1675,0,0,0,0,0,0
1996,38,1673,0,0,0,0,0,0
1996,39,1740,0,0,0,0,0,0
1996,40,1717,0,0,0,0,0,0
1996,41,1705,0,0,0,0,0,0
1996,42,1667,0,0,0,0,0,0
1996,43,1674,0,0,0,0,0,0
1996,44,1688,0,0,0,0,0,0
1996,45,1690,0,0,0,0,0,0
1996,46,1794,1,0,0,0,0,0
1996,47,1766,0,0,1,0,0,0
1996,48,1737,0,0.3,0,0,1,0
1996,49,1809,1,0,0,0.3,0,0
1996,50,1836,7,0,1,0,0,0.3
1996,51,1958,14,5,7,0,1,0
1996,52,2174,39,3.2,14,5,7,0
1997,1,2202,41,4.9,39,3.2,14,5
1997,2,2172,67,3.4,41,4.9,39,3.2
1997,3,2115,67,0,67,3.4,41,4.9
1997,4,1992,62,0,67,0,67,3.4
1997,5,2047,50,0.1,62,0,67,0
1997,6,2032,43,0,50,0.1,62,0
1997,7,2080,31,0.9,43,0,50,0.1
1997,8,2057,31,0,31,0.9,43,0
1997,9,1950,17,0,31,0,31,0.9
1997,10,1822,10,0,17,0,31,0
1997,11,1839,8,0,10,0,17,0
1997,12,1792,4,0.5,8,0,10,0
1997,13,1800,1,0,4,0.5,8,0
1997,14,1760,0,0,1,0,4,0.5
1997,15,1746,0,0,0,0,1,0
1997,16,1673,0,0,0,0,0,0
1997,17,1774,0,0,0,0,0,0
1997,18,1766,0,0,0,0,0,0
1997,19,1716,0,0,0,0,0,0
1997,20,1716,0,0,0,0,0,0
1997,21,1719,0,0,0,0,0,0
1997,22,1667,0,0,0,0,0,0
1997,23,1698,0,0,0,0,0,0
1997,24,1722,0,0,0,0,0,0
1997,25,1736,0,0,0,0,0,0
1997,26,1626,0,0,0,0,0,0
1997,27,1711,0,0,0,0,0,0
1997,28,1590,0,0,0,0,0,0
1997,29,1682,0,0,0,0,0,0
1997,30,1697,0,0,0,0,0,0
1997,31,1604,0,0,0,0,0,0
1997,32,1620,0,0,0,0,0,0
1997,33,1682,0,0,0,0,0,0
1997,34,1595,0,0,0,0,0,0
1997,35,1662,0,0,0,0,0,0
1997,36,1605,0,0,0,0,0,0
1997,37,1669,0,0,0,0,0,0
1997,38,1756,0,0,0,0,0,0
1997,39,1719,0,0,0,0,0,0
1997,40,1752,0,0,0,0,0,0
1997,41,1673,0,0,0,0,0,0
1997,42,1762,0,0,0,0,0,0
1997,43,1730,0,0,0,0,0,0
1997,44,1710,1,0,0,0,0,0
1997,45,1661,0,0,1,0,0,0
1997,46,1655,1,0,0,0,1,0
1997,47,1585,1,0,1,0,0,0
1997,48,1734,2,0,1,0,1,0
1997,49,1731,1,0.2,2,0,1,0
1997,50,1787,9,0,1,0.2,2,0
1997,51,1760,6,0.3,9,0,1,0.2
1997,52,1923,3,0,6,0.3,9,0
1998,1,1888,10,0,3,0,6,0.3
1998,2,1836,1,0,10,0,3,0
1998,3,1802,4,0,1,0,10,0
1998,4,1815,12,0.4,4,0,1,0
1998,5,1783,14,2.1,12,0.4,4,0
1998,6,1868,50,1,14,2.1,12,0.4
1998,7,1937,100,0,50,1,14,2.1
1998,8,2033,197,0,100,0,50,1
1998,9,1995,179,0,197,0,100,0
1998,10,2015,129,0.6,179,0,197,0
1998,11,1936,162,0.6,129,0.6,179,0
1998,12,1935,135,0,162,0.6,129,0.6
1998,13,1916,124,0,135,0,162,0.6
1998,14,1909,77,0,124,0,135,0
1998,15,1886,56,0,77,0,124,0
1998,16,1830,34,0,56,0,77,0
1998,17,1868,14,0,34,0,56,0
1998,18,1722,10,0,14,0,34,0
1998,19,1811,0,0,10,0,14,0
1998,20,1644,0,0,0,0,10,0
1998,21,1684,0,0,0,0,0,0
1998,22,1542,0,0,0,0,0,0
1998,23,1615,0,0,0,0,0,0
1998,24,1598,0,0,0,0,0,0
1998,25,1583,0,0,0,0,0,0
1998,26,1724,0,0,0,0,0,0
1998,27,1680,0,0,0,0,0,0
1998,28,1645,0,0,0,0,0,0
1998,29,1648,0,0,0,0,0,0
1998,30,1736,0,0,0,0,0,0
1998,31,1618,0,0,0,0,0,0
1998,32,1612,0,0,0,0,0,0
1998,33,1662,0,0,0,0,0,0
1998,34,1660,0,0,0,0,0,0
1998,35,1624,0,0,0,0,0,0
1998,36,1697,0,0,0,0,0,0
1998,37,1684,0,0,0,0,0,0
1998,38,1657,0,0,0,0,0,0
1998,39,1570,0,0,0,0,0,0
1998,40,1614,0,0,0,0,0,0
1998,41,1711,0,0,0,0,0,0
1998,42,1715,0,0,0,0,0,0
1998,43,1693,0,0,0,0,0,0
1998,44,1770,0,0,0,0,0,0
1998,45,1782,2,0,0,0,0,0
1998,46,1806,2,0,2,0,0,0
1998,47,1871,3,0.6,2,0,2,0
1998,48,1908,3,0,3,0.6,2,0
1998,49,1850,10,0.2,3,0,3,0.6
1998,50,1938,29,1.6,10,0.2,3,0
1998,51,1957,27,0,29,1.6,10,0.2
1998,52,1969,22,0.1,27,0,29,1.6
1999,1,2091,31,0.1,22,0.1,27,0
1999,2,1953,46,1.2,31,0.1,22,0.1
1999,3,1998,76,0,46,1.2,31,0.1
1999,4,1928,126,4.3,76,0,46,1.2
1999,5,1835,213,0.1,126,4.3,76,0
1999,6,1973,284,3.1,213,0.1,126,4.3
1999,7,2089,239,0,284,3.1,213,0.1
1999,8,2097,124,0,239,0,284,3.1
1999,9,2186,102,0,124,0,239,0
1999,10,2264,98,0.1,102,0,124,0
1999,11,2121,61,0,98,0.1,102,0
1999,12,2003,13,0,61,0,98,0.1
1999,13,2005,20,0,13,0,61,0
1999,14,1792,5,0,20,0,13,0
1999,15,1772,6,0,5,0,20,0
1999,16,1700,0,0,6,0,5,0
1999,17,1722,0,0,0,0,6,0
1999,18,1771,0,0,0,0,0,0
1999,19,1762,0,0,0,0,0,0
1999,20,1737,0,0,0,0,0,0
1999,21,1693,0,0,0,0,0,0
1999,22,1606,0,0,0,0,0,0
1999,23,1626,0,0,0,0,0,0
1999,24,1503,0,0,0,0,0,0
1999,25,1592,0,0,0,0,0,0
1999,26,1634,0,0,0,0,0,0
1999,27,1714,0,0,0,0,0,0
1999,28,1616,0,0,0,0,0,0
1999,29,1777,0,0,0,0,0,0
1999,30,1608,0,0,0,0,0,0
1999,31,1615,0,0,0,0,0,0
1999,32,1795,0,0,0,0,0,0
1999,33,1620,0,0,0,0,0,0
1999,34,1695,0,0,0,0,0,0
1999,35,1711,0,0,0,0,0,0
1999,36,1625,0,0,0,0,0,0
1999,37,1753,0,0,0,0,0,0
1999,38,1603,0,0,0,0,0,0
1999,39,1675,0,0,0,0,0,0
1999,40,1703,0,0,0,0,0,0
1999,41,1652,0,0,0,0,0,0
1999,42,1704,2,0,0,0,0,0
1999,43,1798,4,0,2,0,0,0
1999,44,1670,3,0,4,0,2,0
1999,45,1794,3,0,3,0,4,0
1999,46,1728,2,0,3,0,3,0
1999,47,1728,7,0,2,0,3,0
1999,48,1812,11,0,7,0,2,0
1999,49,1854,43,0.6,11,0,7,0
1999,50,1835,65,1.5,43,0.6,11,0
1999,51,1972,150,0,65,1.5,43,0.6
1999,52,2124,355,0.3,150,0,65,1.5
2000,1,2303,301,0,355,0.3,150,0
2000,2,2373,270,0,301,0,355,0.3
2000,3,2241,185,0.7,270,0,301,0
2000,4,2157,119,0,185,0.7,270,0
2000,5,2083,124,0,119,0,185,0.7
2000,6,2013,114,0,124,0,119,0
2000,7,2086,83,0.1,114,0,124,0
2000,8,1930,53,0,83,0.1,114,0
2000,9,1895,56,0,53,0,83,0.1
2000,10,1857,26,0,56,0,53,0
2000,11,1825,8,0,26,0,56,0
2000,12,1775,13,0,8,0,26,0
2000,13,1864,12,0,13,0,8,0
2000,14,1755,0,0,12,0,13,0
2000,15,1713,0,0,0,0,12,0
2000,16,1840,0,0,0,0,0,0
2000,17,1701,0,0,0,0,0,0
2000,18,1755,0,0,0,0,0,0
2000,19,1694,0,0,0,0,0,0
2000,20,1618,0,0,0,0,0,0
2000,21,1695,0,0,0,0,0,0
2000,22,1682,0,0,0,0,0,0
2000,23,1620,0,0,0,0,0,0
2000,24,1598,0,0,0,0,0,0
2000,25,1595,0,0,0,0,0,0
2000,26,1700,0,0,0,0,0,0
2000,27,1653,0,0,0,0,0,0
2000,28,1735,0,0,0,0,0,0
2000,29,1626,0,0,0,0,0,0
2000,30,1701,0,0,0,0,0,0
2000,31,1679,0,0,0,0,0,0
2000,32,1654,0,0,0,0,0,0
2000,33,1637,0,0,0,0,0,0
2000,34,1655,0,0,0,0,0,0
2000,35,1614,0,0,0,0,0,0
2000,36,1624,0,0,0,0,0,0
2000,37,1692,0,0,0,0,0,0
2000,38,1703,0,0,0,0,0,0
2000,39,1610,0,0,0,0,0,0
2000,40,1692,0,0,0,0,0,0
2000,41,1692,0,0,0,0,0,0
2000,42,1612,0,0,0,0,0,0
2000,43,1660,0,0,0,0,0,0
2000,44,1701,0,0,0,0,0,0
2000,45,1767,0,0,0,0,0,0
2000,46,1721,0,0,0,0,0,0
2000,47,1717,0,0,0,0,0,0
2000,48,1740,0,0,0,0,0,0
2000,49,1731,0,0,0,0,0,0
2000,50,1723,0,0,0,0,0,0
2000,51,1768,0,0.2,0,0,0,0
2000,52,1848,4,1.1,0,0.2,0,0
2001,1,2393,0,0,4,1.1,0,0.2
2001,2,1877,6,0,0,0,4,1.1
2001,3,1833,6,0.6,6,0,0,0
2001,4,1815,10,0,6,0.6,6,0
2001,5,1774,19,4.4,10,0,6,0.6
2001,6,1928,56,0.9,19,4.4,10,0
2001,7,1783,67,0,56,0.9,19,4.4
2001,8,1902,79,1.1,67,0,56,0.9
2001,9,1943,71,5.3,79,1.1,67,0
2001,10,1889,73,0,71,5.3,79,1.1
2001,11,1843,83,0,73,0,71,5.3
2001,12,1858,50,1,83,0,73,0
2001,13,1815,76,0,50,1,83,0
2001,14,1843,31,0,76,0,50,1
2001,15,1840,33,0,31,0,76,0
2001,16,1943,10,0,33,0,31,0
2001,17,1833,0,0,10,0,33,0
2001,18,1788,0,0,0,0,10,0
2001,19,1791,0,0,0,0,0,0
2001,20,1805,0,0,0,0,0,0
2001,21,1719,0,0,0,0,0,0
2001,22,1723,0,0,0,0,0,0
2001,23,1723,0,0,0,0,0,0
2001,24,1733,0,0,0,0,0,0
2001,25,1685,0,0,0,0,0,0
2001,26,1832,0,0,0,0,0,0
2001,27,1787,0,0,0,0,0,0
2001,28,1799,0,0,0,0,0,0
2001,29,1655,0,0,0,0,0,0
2001,30,1633,0,0,0,0,0,0
2001,31,1665,0,0,0,0,0,0
2001,32,1692,0,0,0,0,0,0
2001,33,1594,0,0,0,0,0,0
2001,34,1716,0,0,0,0,0,0
2001,35,1620,0,0,0,0,0,0
2001,36,1660,0,0,0,0,0,0
2001,37,1718,0,0,0,0,0,0
2001,38,1687,0,0,0,0,0,0
2001,39,1663,0,0,0,0,0,0
2001,40,1711,0,0,0,0,0,0
2001,41,1761,0,0,0,0,0,0
2001,42,1610,0,0,0,0,0,0
2001,43,1690,0,0,0,0,0,0
2001,44,1727,0,0,0,0,0,0
2001,45,1873,0,0,0,0,0,0
2001,46,1736,0,0,0,0,0,0
2001,47,1789,1,0,0,0,0,0
2001,48,1829,1,0,1,0,0,0
2001,49,1792,0,0,1,0,1,0
2001,50,1860,1,0,0,0,1,0
2001,51,1824,0,2.4,1,0,0,0
2001,52,2125,0,3.9,0,2.4,1,0
2002,1,1965,1,3.5,0,3.9,0,2.4
2002,2,1936,12,0,1,3.5,0,3.9
2002,3,1902,7,0,12,0,1,3.5
2002,4,1852,12,1.2,7,0,12,0
2002,5,1891,24,0.2,12,1.2,7,0
2002,6,1810,44,0,24,0.2,12,1.2
2002,7,1778,39,0,44,0,24,0.2
2002,8,1860,66,0,39,0,44,0
2002,9,1978,119,0,66,0,39,0
2002,10,2022,181,0,119,0,66,0
2002,11,2042,222,0,181,0,119,0
2002,12,1993,233,0,222,0,181,0
2002,13,2074,190,0,233,0,222,0
2002,14,1937,153,0,190,0,233,0
2002,15,1953,105,0,153,0,190,0
2002,16,1875,51,0,105,0,153,0
2002,17,1861,37,0,51,0,105,0
2002,18,1713,15,0,37,0,51,0
2002,19,1759,8,0,15,0,37,0
2002,20,1690,0,0,8,0,15,0
2002,21,1748,0,0,0,0,8,0
2002,22,1657,0,0,0,0,0,0
2002,23,1683,0,0,0,0,0,0
2002,24,1617,0,0,0,0,0,0
2002,25,1622,0,0,0,0,0,0
2002,26,1631,0,0,0,0,0,0
2002,27,1651,0,0,0,0,0,0
2002,28,1682,0,0,0,0,0,0
2002,29,1730,0,0,0,0,0,0
2002,30,1648,0,0,0,0,0,0
2002,31,1772,0,0,0,0,0,0
2002,32,1710,0,0,0,0,0,0
2002,33,1759,0,0,0,0,0,0
2002,34,1659,0,0,0,0,0,0
2002,35,1702,0,0,0,0,0,0
2002,36,1649,0,0,0,0,0,0
2002,37,1642,0,0,0,0,0,0
2002,38,1655,0,0,0,0,0,0
2002,39,1686,0,0,0,0,0,0
2002,40,1750,0,0,0,0,0,0
2002,41,1783,0,0,0,0,0,0
2002,42,1798,0,0,0,0,0,0
2002,43,1892,0,0,0,0,0,0
2002,44,1854,1,0,0,0,0,0
2002,45,1763,0,0,1,0,0,0
2002,46,1813,1,0,0,0,1,0
2002,47,1822,0,0,1,0,0,0
2002,48,1770,2,0,0,0,1,0
2002,49,1806,0,0,2,0,0,0
2002,50,1943,1,1.1,0,0,2,0
2002,51,1955,1,1.1,1,1.1,0,0
2002,52,2105,3,2.8,1,1.1,1,1.1
2003,1,2267,8,9.6,3,2.8,1,1.1
2003,2,2240,7,4.4,8,9.6,3,2.8
2003,3,2107,18,0,7,4.4,8,9.6
2003,4,1993,17,0,18,0,7,4.4
2003,5,1953,19,2.5,17,0,18,0
2003,6,1998,25,2,19,2.5,17,0
2003,7,1854,45,0.9,25,2,19,2.5
2003,8,1878,41,0.6,45,0.9,25,2
2003,9,1846,45,1.8,41,0.6,45,0.9
2003,10,1845,49,0,45,1.8,41,0.6
2003,11,1937,52,0,49,0,45,1.8
2003,12,1798,43,0,52,0,49,0
2003,13,1885,41,0,43,0,52,0
2003,14,1838,31,0,41,0,43,0
2003,15,1818,25,0,31,0,41,0
2003,16,1764,30,0,25,0,31,0
2003,17,1756,17,0,30,0,25,0
2003,18,1741,15,0,17,0,30,0
2003,19,1687,9,0,15,0,17,0
2003,20,1590,8,0,9,0,15,0
2003,21,1632,0,0,8,0,9,0
2003,22,1619,0,0,0,0,8,0
2003,23,1617,0,0,0,0,0,0
2003,24,1583,0,0,0,0,0,0
2003,25,1607,0,0,0,0,0,0
2003,26,1614,0,0,0,0,0,0
2003,27,1672,0,0,0,0,0,0
2003,28,1587,0,0,0,0,0,0
2003,29,1737,0,0,0,0,0,0
2003,30,1684,0,0,0,0,0,0
2003,31,1672,0,0,0,0,0,0
2003,32,1582,0,0,0,0,0,0
2003,33,1682,0,0,0,0,0,0
2003,34,1599,0,0,0,0,0,0
2003,35,1598,0,0,0,0,0,0
2003,36,1690,0,0,0,0,0,0
2003,37,1689,0,0,0,0,0,0
2003,38,1642,0,0,0,0,0,0
2003,39,1724,0,0,0,0,0,0
2003,40,1676,0,0,0,0,0,0
2003,41,1702,0,0,0,0,0,0
2003,42,1723,0,0,0,0,0,0
2003,43,1743,2,0,0,0,0,0
